Savings,Checkings,CreditCard,Pin
120.0,10.0,1,5
950.0,10.0,3,4
98460.64,51629.46,5048372099678829,9877
5013.22,18539.29,5108755051962057,6176
24254.73,38948.51,5048372553155876,4428
66758.74,53966.06,5108754266561879,3022
53048.9,63291.37,5108759462702110,7855
87259.85,24201.62,5048375961080115,8645
36068.42,22102.43,5048372609646803,3362
89968.17,17863.21,5108754297475644,5455
15183.74,34735.37,5048375270799728,6854
9134.44,80642.37,5108754734691688,7668
78901.63,54699.55,5108757841166130,4228
15662.02,76601.9,5048376778304839,3163
95180.31,3311.49,5048379883657117,2302
64290.62,75647.18,5048376250534218,4511
23572.97,18320.21,5108751243375365,3854
21918.11,39731.82,5048376134374039,7596
96567.08,19253.82,5108753851305668,5622
46455.38,1797.59,5048377175743108,5850
31794.38,57514.39,5048375635732471,4146
61498.85,87182.54,5048375492576375,3006
77596.0,81767.25,5108754016108369,3880
77287.97,29710.77,5048371105563165,3847
9901.7,66258.67,5048373419490929,3312
2242.94,26200.11,5048374813724392,2280
26860.01,62003.01,5108750074691056,5746
6039.88,39195.69,5108750937302206,7070
15387.47,65409.21,5048374594876924,7582
44648.44,34431.41,5108757545531266,3936
96139.49,45515.53,5048374472567595,4783
67897.14,15467.83,5108756897341373,6549
75033.56,54719.66,5108750145868881,1556
49482.0,10065.42,5108759882775407,7609
93511.39,37346.27,5108758583255032,6836
36955.3,94710.8,5108751389812007,5084
8201.26,36250.66,5108757569640688,8303
5134.37,57955.18,5108757619660330,8916
48676.08,13772.08,5048376952419684,9667
18999.46,20481.9,5048376573857106,2264
87317.08,31714.63,5108750298983305,4084
45825.83,79976.61,5108753286152156,2509
75114.82,62258.41,5048371709459471,7662
22957.85,74938.81,5048375876403477,7211
88524.49,51071.01,5048379087122215,6189
37296.89,32060.06,5048374283323469,2098
43742.37,63051.29,5108758588217037,6525
13181.0,73511.97,5108751942269653,5966
37293.55,67258.43,5108758115547906,8016
35455.86,25964.14,5048379016590748,6483
1212.87,24601.88,5048373116354956,6022
1420.7,75619.66,5048374358314880,7307
95737.63,13998.65,5048374820388645,2609
53237.48,88234.06,5108752030053827,9608
62542.31,36731.79,5108756444703026,5462
1357.09,31510.05,5048370020783791,1535
74009.09,81756.59,5048374724339322,8552
60044.63,18370.02,5108753548410764,1062
25198.25,34621.8,5108755315349133,8497
88065.66,46374.3,5048375988591367,7368
918.54,66173.92,5048377005961573,8875
65188.34,20996.69,5108757848832387,7225
70432.16,50208.88,5108751845443009,2021
28247.99,31560.56,5108757571229678,7414
57196.29,81103.62,5108756299675691,5458
20829.12,98284.98,5108750384553376,2981
2672.92,64967.89,5048376082793842,1233
90228.52,8977.11,5048372696903141,7283
4036.41,84746.19,5108754550115192,5165
4259.4,46810.75,5048374450869922,6151
9038.7,26164.02,5108759656999886,2604
86779.98,89937.48,5108759574432689,4815
25360.6,86254.01,5048371483175517,9142
2786.58,86401.2,5108755452699639,5424
66896.25,42990.57,5048379572176577,7578
93660.33,35680.43,5108754892359748,5715
24858.38,95499.31,5048376044572656,6999
31540.48,76785.18,5108759822703915,7533
41607.44,55948.63,5108756963644957,4152
99693.67,567.26,5048379789831535,1315
83782.87,88697.34,5048374460028022,5678
94098.93,72255.64,5048370262533441,8926
11110.64,47349.86,5108754324564824,9660
35851.84,42342.37,5048377240470596,7258
19271.95,1524.11,5108755992107002,1596
79930.27,31713.29,5108751447146687,8183
94728.3,58443.18,5048371520579713,1245
85477.47,74422.08,5108752130820695,8795
78122.73,5956.04,5048373865199412,5576
48027.65,32294.86,5048378229044691,4896
78696.93,4978.88,5048371300790100,3411
94406.02,25555.43,5048373845351737,6022
91566.93,78666.42,5048376991592681,8027
61494.31,66323.02,5108755357548667,4102
91682.73,24439.2,5048372699892952,3084
72233.72,22290.09,5108750355790502,4578
73202.38,91728.26,5108753791828464,2815
42637.39,46627.85,5048377646897590,3802
19868.66,78883.64,5048376027226932,9059
41093.78,72778.03,5108751652061670,7542
47861.7,13731.19,5108753009128020,9730
90740.4,81881.31,5048373770599771,2178
45330.92,30230.89,5048375095088752,2505
30139.81,61654.15,5108751276644695,1883
96062.3,89792.92,5048379418226164,8927
46023.07,45439.49,5108753505350615,5258
81490.35,63819.31,5048373400829168,7428
96264.26,33665.11,5108757852997951,3554
14542.66,68049.95,5108759168797240,6643
40925.8,13881.97,5108752682690272,5194
14250.12,8494.07,5108751808424665,8879
4204.12,34115.79,5108754025423510,8516
96564.89,68885.43,5108753072360799,1360
87856.77,1814.85,5108752359714306,5194
22543.15,54274.26,5108755043367829,6760
88072.49,43000.47,5108755571502482,9002
63251.87,11985.6,5048377300712614,4673
39212.61,52760.02,5108750622185791,1750
26684.88,55869.09,5108751131642835,1025
35521.09,40182.32,5108753395348513,3692
68637.61,59340.38,5108752510690072,1907
58404.24,69293.89,5108751492901176,3032
69338.83,36677.83,5048370402127773,7346
94015.45,91647.37,5048376584384124,6715
43411.81,10653.17,5108755053521612,6581
7288.61,27208.93,5048374930705274,8431
48471.45,75712.82,5108753890656683,9162
96992.89,28083.56,5048378501108511,8446
806.31,46714.19,5108759795617969,3517
19026.62,91923.62,5108756860640108,6513
27058.04,59079.71,5108751057107987,2986
84791.23,49622.55,5048377019403117,2464
25260.91,79749.16,5048373652439062,6909
12640.99,70760.02,5048372740387838,4803
67248.79,68640.39,5048376938241905,1237
77314.07,35174.14,5048377657752387,8692
66530.68,8841.77,5108750875421372,9299
48400.39,92573.13,5048376811884359,5738
29712.26,12533.42,5108751800811778,1337
87387.14,86964.45,5048376310387193,6251
39531.01,2181.86,5048379525433331,7400
39452.62,91368.54,5048375041956607,8079
90507.91,61902.79,5108750024650590,1316
66149.81,62471.71,5108754480503962,5563
13851.41,68044.71,5108759647619817,2874
53531.79,69503.82,5108752337955807,2731
99055.31,7474.74,5108750491769360,8119
36613.62,58277.03,5108750650509268,7628
33931.08,50331.68,5048378748626143,7758
71199.19,36883.52,5048379103003076,3144
85715.26,99914.17,5048376180158682,5421
98726.83,20184.8,5048376310233090,9537
72508.11,52446.62,5048376960068945,8558
96064.11,2252.16,5108751736062074,2310
78308.08,76202.03,5048379926546087,8501
80743.21,43656.08,5048372166415782,9943
95165.19,91786.84,5048374841794243,1259
38066.09,65834.4,5048374344615945,7201
31103.76,80339.88,5048372424027395,2740
92770.75,51979.02,5108755848940762,2456
61002.71,10473.34,5048375821401378,8015
60586.95,18730.36,5108751793030618,5938
63368.19,40227.12,5108751503767657,1087
91442.3,81998.5,5108757261623545,2255
83444.86,14585.08,5048375825726804,9157
91538.8,29188.15,5048374256664915,8319
89758.19,46458.63,5108759733342191,2206
18352.7,2644.65,5048377549880198,3398
79380.65,28011.14,5048377414825906,8489
44057.16,52131.41,5048378731710144,6897
31565.51,63937.18,5108751897113849,5251
27044.24,22338.82,5048373173699111,1386
2804.8,21707.92,5048371694995018,1484
63230.21,94748.37,5048373386635761,1355
15482.78,5111.3,5048372637084217,4410
81718.83,14591.45,5048371398029999,2840
17308.31,82925.38,5048378337163979,4425
76243.53,91721.44,5108752862580780,7757
29601.59,44521.69,5048377839289480,7695
28645.2,81830.28,5048377830531666,2053
64197.82,23794.04,5108757525654021,7621
89899.68,97055.34,5048373956709707,5127
37822.79,11494.82,5048370155715352,8248
87957.77,13049.2,5108755148547598,2162
37447.37,92081.6,5048373576059798,4857
1333.51,43835.14,5048370108593443,3621
79488.68,40797.98,5108756162406448,8245
28930.8,33039.77,5048371872995145,6960
27763.8,37444.87,5108754526047875,9948
86132.33,30432.38,5048379396963176,1165
44245.39,3961.64,5048373747004400,3292
6845.86,92720.96,5048377933679701,2249
55001.29,4939.32,5048371635728924,4370
46865.73,66982.26,5048375710935890,2511
19190.09,37417.86,5048370794309252,7378
24169.15,24616.24,5048378953813204,3920
24568.6,73995.44,5048370747447340,4138
78412.69,55365.26,5048373946502204,9454
78515.98,39400.58,5048379656706570,7352
77268.94,1822.52,5108752206119238,5713
31219.21,68778.0,5048379240186438,4883
78669.52,62433.63,5108756198766765,2546
30140.99,85601.18,5108755761342483,4059
24404.28,68857.4,5048373306074489,8635
15498.0,43039.38,5108755810084391,7858
15704.11,48327.54,5108750827272345,1925
99297.47,98463.88,5048370780249678,8125
48520.52,69802.0,5108754214204887,8795
84849.33,25876.49,5108759812125004,4005
90067.53,98516.21,5108756711786332,4670
36012.61,85946.29,5048375893771807,2124
29542.15,10440.43,5048372218029029,4193
87451.28,88834.56,5048378709031200,9495
91502.31,43980.07,5108759156135460,2687
46736.3,47411.49,5048374418695773,8676
21223.66,58512.32,5048378174911993,5817
63655.75,73756.79,5108754185192194,4076
80181.95,64735.13,5048371440024717,8255
14078.41,70618.76,5108755465394764,2140
24815.19,85160.66,5108757045577181,6879
96856.44,73098.11,5048373162397214,3202
40265.74,56888.7,5048371583226848,2716
23052.54,29537.76,5108753683261220,6155
33837.33,27741.63,5048375553398131,6301
49205.73,31923.29,5108759402132477,9601
58040.96,99283.71,5048370894382803,2685
93273.74,35527.46,5048376289398205,4822
14844.24,64069.3,5048372653878450,8365
79741.9,58999.22,5048373172622890,5428
40898.55,2115.09,5108750853891364,6313
55379.66,17468.45,5108755621027951,7743
74960.86,60996.46,5108752962120404,6352
20175.65,80353.61,5108756452146480,8102
54200.84,69874.15,5048370363096314,2842
56422.33,22872.07,5108750861079218,4911
95297.51,47764.12,5048379767634018,9163
25943.73,91341.06,5108755353131773,8145
29812.49,56368.94,5108750992645770,9241
26629.9,21402.8,5048372531893234,7943
46933.63,23780.82,5048379187158044,5833
97851.28,58968.22,5108751936989175,5195
62995.03,17218.07,5108759110608123,6039
45618.72,79491.85,5048371308150976,3060
10802.68,59196.51,5048373345283661,2889
41686.5,82452.13,5108752372397089,2082
40330.02,94954.11,5108756872847147,2373
87605.6,39957.27,5048376898662371,8393
49528.7,62076.12,5048375774682297,6560
7307.81,32781.89,5048370760671339,9207
82263.52,39025.83,5108759399468256,8215
55327.68,95919.32,5048379507591890,7588
86347.73,39358.3,5048376143975867,3468
2862.21,68209.2,5048373673113217,8848
56295.01,80293.78,5108754448229957,3756
3533.62,86169.57,5108754843000656,3041
84983.15,73044.28,5108750361992571,3864
48791.92,24678.96,5108758653208788,2208
11094.41,13879.33,5108755379458218,2562
50862.01,80241.55,5048379977165647,2580
98805.44,38632.97,5048379861060656,8339
68993.3,70494.97,5108759474272102,1612
10629.85,25928.71,5108755077888153,4850
221.67,65348.82,5048379989076717,1358
39752.08,74704.4,5108759789884252,7396
87831.46,75071.48,5048379193188548,2725
55891.33,20801.13,5108752939381303,1773
4435.87,42905.01,5108752074702677,1183
41706.68,75224.05,5108757244490350,6195
49432.93,83781.22,5108751635455247,7906
55422.06,94250.81,5048375494007619,9685
4803.69,79411.69,5108752099616555,7992
66605.79,11782.04,5108757123978368,6755
55242.15,55737.48,5108757971460360,1361
55578.37,50986.34,5108758605331852,2623
56399.04,42245.96,5108756379855106,2503
78265.15,32300.79,5048374258207705,4518
27236.87,5985.94,5108754174950420,9245
92253.6,54884.19,5048370265633982,7031
91031.59,60499.31,5048370040182214,4561
10059.78,17966.87,5108755289464231,3471
78415.98,11798.84,5108750586360158,5002
69546.65,2739.84,5048376849274813,9625
5516.28,64540.69,5108751341977161,7919
92184.57,35637.23,5108751475415574,4380
12317.97,16436.51,5048374703476129,4253
74024.56,1527.78,5048375949592223,3919
4484.22,90801.11,5048379658244257,1951
12920.63,88857.99,5108759321768070,3597
55808.95,99381.8,5108754186502839,8241
42216.85,38361.41,5108759400960531,6347
13870.47,47920.28,5108753646218697,8169
45260.74,57182.41,5108758404425558,6921
52394.0,22119.07,5108759520513087,2081
32427.62,74067.06,5108758465023409,2292
36547.74,67855.94,5048372659568089,4061
6076.96,72052.81,5048375918888487,4986
84503.92,62110.76,5108752601361419,2560
35353.39,35734.75,5108753671120800,8390
77306.0,30015.04,5048370063545917,2037
63336.83,82753.34,5048371271371302,5375
43546.28,28404.86,5048373968846927,6311
9334.32,29989.62,5108756240604808,3940
6068.63,19244.72,5108753959518170,6533
18742.99,76483.45,5048379380172370,9900
51772.13,32377.48,5048376600601790,2779
95999.74,71643.91,5048376631831093,5939
19836.26,99289.46,5048373221710084,2016
15226.22,73183.45,5108754991074628,6830
73647.51,18191.17,5108751925363341,5501
13028.87,63802.04,5108757195860213,4478
90543.17,77423.47,5048376626135831,2326
77896.83,35682.32,5108754531469288,2958
13245.09,37085.22,5048378093192055,6283
43928.11,86770.39,5048372115015196,2125
67997.56,34194.39,5048370651396343,5050
94469.63,84505.95,5108757721484389,7151
45501.2,53138.54,5108753615700832,8829
68245.52,17006.7,5048377010164361,9478
32541.34,78827.15,5048377089572346,3947
7861.64,27325.55,5048378213703831,1759
60941.72,4132.98,5048378661640121,3731
40493.53,31825.29,5108756617831422,4016
4117.1,43511.98,5108753137489450,5941
11409.82,19312.9,5048371638812048,8359
29709.51,45130.18,5048374676948385,3346
